date,project,users
2021-02-11T00:00:00+00:00,0x API,68084
2021-02-12T00:00:00+00:00,0x API,68891
2021-02-13T00:00:00+00:00,0x API,69781
2021-02-14T00:00:00+00:00,0x API,70742
2021-02-15T00:00:00+00:00,0x API,71509
2021-02-16T00:00:00+00:00,0x API,72186
2021-02-17T00:00:00+00:00,0x API,72943
2021-02-18T00:00:00+00:00,0x API,73863
2021-02-19T00:00:00+00:00,0x API,74788
2021-02-20T00:00:00+00:00,0x API,75569
2021-02-21T00:00:00+00:00,0x API,76456
2021-02-22T00:00:00+00:00,0x API,77047
2021-02-23T00:00:00+00:00,0x API,77470
2021-02-24T00:00:00+00:00,0x API,78048
2021-02-25T00:00:00+00:00,0x API,78659
2021-02-26T00:00:00+00:00,0x API,79161
2021-02-27T00:00:00+00:00,0x API,79817
2021-02-28T00:00:00+00:00,0x API,80453
2021-03-01T00:00:00+00:00,0x API,81254
2021-03-02T00:00:00+00:00,0x API,81997
2021-03-03T00:00:00+00:00,0x API,82720
2021-03-04T00:00:00+00:00,0x API,83484
2021-03-05T00:00:00+00:00,0x API,84162
2021-03-06T00:00:00+00:00,0x API,85099
2021-03-07T00:00:00+00:00,0x API,85771
2021-03-08T00:00:00+00:00,0x API,86520
2021-03-09T00:00:00+00:00,0x API,87291
2021-03-10T00:00:00+00:00,0x API,88018
2021-03-11T00:00:00+00:00,0x API,88682
2021-03-12T00:00:00+00:00,0x API,89261
2021-03-13T00:00:00+00:00,0x API,89883
2021-03-14T00:00:00+00:00,0x API,90527
2021-03-15T00:00:00+00:00,0x API,91100
2021-03-16T00:00:00+00:00,0x API,91699
2021-03-17T00:00:00+00:00,0x API,92317
2021-03-18T00:00:00+00:00,0x API,93086
2021-03-19T00:00:00+00:00,0x API,93873
2021-03-20T00:00:00+00:00,0x API,94664
2021-03-21T00:00:00+00:00,0x API,95364
2021-03-22T00:00:00+00:00,0x API,96065
2021-03-23T00:00:00+00:00,0x API,96840
2021-03-24T00:00:00+00:00,0x API,97790
2021-03-25T00:00:00+00:00,0x API,98526
2021-03-26T00:00:00+00:00,0x API,99359
2021-03-27T00:00:00+00:00,0x API,100249
2021-03-28T00:00:00+00:00,0x API,101101
2021-03-29T00:00:00+00:00,0x API,101850
2021-03-30T00:00:00+00:00,0x API,102568
2021-03-31T00:00:00+00:00,0x API,103228
2021-04-01T00:00:00+00:00,0x API,103815
2021-04-02T00:00:00+00:00,0x API,104409
2021-04-03T00:00:00+00:00,0x API,105104
2021-04-04T00:00:00+00:00,0x API,105801
2021-04-05T00:00:00+00:00,0x API,106464
2021-04-06T00:00:00+00:00,0x API,107148
2021-04-07T00:00:00+00:00,0x API,107763
2021-04-08T00:00:00+00:00,0x API,108466
2021-04-09T00:00:00+00:00,0x API,109181
2021-04-10T00:00:00+00:00,0x API,109890
2021-04-11T00:00:00+00:00,0x API,110609
2021-04-12T00:00:00+00:00,0x API,111261
2021-04-13T00:00:00+00:00,0x API,111944
2021-04-14T00:00:00+00:00,0x API,112519
2021-04-15T00:00:00+00:00,0x API,113260
2021-04-16T00:00:00+00:00,0x API,113757
2021-04-17T00:00:00+00:00,0x API,114362
2021-04-18T00:00:00+00:00,0x API,114909
2021-04-19T00:00:00+00:00,0x API,115364
2021-04-20T00:00:00+00:00,0x API,115844
2021-04-21T00:00:00+00:00,0x API,116343
2021-04-22T00:00:00+00:00,0x API,116955
2021-04-23T00:00:00+00:00,0x API,117624
2021-04-24T00:00:00+00:00,0x API,118527
2021-04-25T00:00:00+00:00,0x API,119353
2021-04-26T00:00:00+00:00,0x API,120120
2021-04-27T00:00:00+00:00,0x API,120830
2021-04-28T00:00:00+00:00,0x API,121515
2021-04-29T00:00:00+00:00,0x API,122243
2021-04-30T00:00:00+00:00,0x API,123068
2021-05-01T00:00:00+00:00,0x API,123936
2021-05-02T00:00:00+00:00,0x API,124745
2021-05-03T00:00:00+00:00,0x API,125704
2021-05-04T00:00:00+00:00,0x API,126407
2021-05-05T00:00:00+00:00,0x API,127089
2021-05-06T00:00:00+00:00,0x API,127935
2021-05-07T00:00:00+00:00,0x API,128678
2021-05-08T00:00:00+00:00,0x API,129371
2021-05-09T00:00:00+00:00,0x API,130048
2021-05-10T00:00:00+00:00,0x API,130583
2021-05-11T00:00:00+00:00,0x API,131080
2021-05-12T00:00:00+00:00,0x API,131749
2021-05-13T00:00:00+00:00,0x API,132424
2021-05-14T00:00:00+00:00,0x API,133158
2021-05-15T00:00:00+00:00,0x API,133999
2021-05-16T00:00:00+00:00,0x API,134972
2021-05-17T00:00:00+00:00,0x API,135777
2021-05-18T00:00:00+00:00,0x API,136646
2021-05-19T00:00:00+00:00,0x API,137243
2021-05-20T00:00:00+00:00,0x API,137868
2021-05-21T00:00:00+00:00,0x API,138571
2021-05-22T00:00:00+00:00,0x API,139371
2021-05-23T00:00:00+00:00,0x API,139989
2021-05-24T00:00:00+00:00,0x API,140707
2021-05-25T00:00:00+00:00,0x API,141417
2021-05-26T00:00:00+00:00,0x API,142302
2021-05-27T00:00:00+00:00,0x API,143098
2021-05-28T00:00:00+00:00,0x API,143916
2021-05-29T00:00:00+00:00,0x API,144739
2021-05-30T00:00:00+00:00,0x API,145410
2021-05-31T00:00:00+00:00,0x API,146065
2021-06-01T00:00:00+00:00,0x API,147197
2021-06-02T00:00:00+00:00,0x API,148889
2021-06-03T00:00:00+00:00,0x API,150858
2021-06-04T00:00:00+00:00,0x API,152585
2021-06-05T00:00:00+00:00,0x API,154398
2021-06-06T00:00:00+00:00,0x API,156317
2021-06-07T00:00:00+00:00,0x API,158247
2021-06-08T00:00:00+00:00,0x API,159849
2021-06-09T00:00:00+00:00,0x API,161442
2021-06-10T00:00:00+00:00,0x API,162862
2021-06-11T00:00:00+00:00,0x API,163949
2021-06-12T00:00:00+00:00,0x API,165067
2021-06-13T00:00:00+00:00,0x API,166334
2021-06-14T00:00:00+00:00,0x API,167771
2021-06-15T00:00:00+00:00,0x API,168862
2021-06-16T00:00:00+00:00,0x API,169964
2021-06-17T00:00:00+00:00,0x API,170957
2021-06-18T00:00:00+00:00,0x API,171999
2021-06-19T00:00:00+00:00,0x API,173056
2021-06-20T00:00:00+00:00,0x API,174117
2021-06-21T00:00:00+00:00,0x API,174964
2021-06-22T00:00:00+00:00,0x API,175775
2021-06-23T00:00:00+00:00,0x API,176731
2021-06-24T00:00:00+00:00,0x API,177849
2021-06-25T00:00:00+00:00,0x API,178986
2021-06-26T00:00:00+00:00,0x API,180191
2021-06-27T00:00:00+00:00,0x API,181406
2021-06-28T00:00:00+00:00,0x API,182681
2021-06-29T00:00:00+00:00,0x API,183889
2021-06-30T00:00:00+00:00,0x API,184894
2021-07-01T00:00:00+00:00,0x API,185893
2021-07-02T00:00:00+00:00,0x API,187148
2021-07-03T00:00:00+00:00,0x API,188649
2021-07-04T00:00:00+00:00,0x API,190132
2021-07-05T00:00:00+00:00,0x API,191319
2021-07-06T00:00:00+00:00,0x API,192273
2021-07-07T00:00:00+00:00,0x API,193493
2021-07-08T00:00:00+00:00,0x API,194613
2021-07-09T00:00:00+00:00,0x API,196102
2021-07-10T00:00:00+00:00,0x API,197638
2021-07-11T00:00:00+00:00,0x API,199179
2021-07-12T00:00:00+00:00,0x API,200515
2021-07-13T00:00:00+00:00,0x API,202096
2021-07-14T00:00:00+00:00,0x API,203797
2021-07-15T00:00:00+00:00,0x API,205878
2021-07-16T00:00:00+00:00,0x API,207618
2021-07-17T00:00:00+00:00,0x API,209444
2021-07-18T00:00:00+00:00,0x API,211078
2021-07-19T00:00:00+00:00,0x API,212653
2021-07-20T00:00:00+00:00,0x API,212939
2019-07-13T00:00:00+00:00,0x Native,31
2019-07-14T00:00:00+00:00,0x Native,83
2019-07-15T00:00:00+00:00,0x Native,154
2019-07-16T00:00:00+00:00,0x Native,184
2019-07-17T00:00:00+00:00,0x Native,232
2019-07-18T00:00:00+00:00,0x Native,278
2019-07-19T00:00:00+00:00,0x Native,313
2019-07-20T00:00:00+00:00,0x Native,357
2019-07-21T00:00:00+00:00,0x Native,369
2019-07-22T00:00:00+00:00,0x Native,395
2019-07-23T00:00:00+00:00,0x Native,433
2019-07-24T00:00:00+00:00,0x Native,463
2019-07-25T00:00:00+00:00,0x Native,489
2019-07-26T00:00:00+00:00,0x Native,523
2019-07-27T00:00:00+00:00,0x Native,543
2019-07-28T00:00:00+00:00,0x Native,570
2019-07-29T00:00:00+00:00,0x Native,591
2019-07-30T00:00:00+00:00,0x Native,623
2019-07-31T00:00:00+00:00,0x Native,649
2019-08-01T00:00:00+00:00,0x Native,680
2019-08-02T00:00:00+00:00,0x Native,705
2019-08-03T00:00:00+00:00,0x Native,716
2019-08-04T00:00:00+00:00,0x Native,731
2019-08-05T00:00:00+00:00,0x Native,756
2019-08-06T00:00:00+00:00,0x Native,778
2019-08-07T00:00:00+00:00,0x Native,795
