project,date_trunc,usd_volume
0x Native,2020-12-01T00:00:00+00:00,2484891961.6197391277646183290893
Synthetix,2021-06-01T00:00:00+00:00,883184883.90457765171931500472
Mooniswap,2021-03-01T00:00:00+00:00,7453000.98275997413314701
Synthetix,2020-12-01T00:00:00+00:00,727370621.983153280710627101473111706167571901
dYdX,2021-04-01T00:00:00+00:00,508122383.08433137026863232592
0x Native,2021-04-01T00:00:00+00:00,4199085643.492290670985963761318832
Uniswap,2021-05-01T00:00:00+00:00,83087676782.270004129356109728530794
Sushiswap,2020-11-01T00:00:00+00:00,1997803843.823399394716798702590750
Sushiswap,2021-01-01T00:00:00+00:00,12382613796.59984150745083513378501
Sushiswap,2020-10-01T00:00:00+00:00,878879378.393495360918503256606255
Mooniswap,2021-02-01T00:00:00+00:00,15560594.7764242601765890246
Oasis,2020-12-01T00:00:00+00:00,4302777.968224670150924
Curve,2021-02-01T00:00:00+00:00,4887248186.6729189968812235
airswap,2021-02-01T00:00:00+00:00,12948279.4236943943038528112
Balancer,2021-03-01T00:00:00+00:00,2035984184.00422931191029145242
Kyber,2020-10-01T00:00:00+00:00,184448094.4910695867720790094593188398
Sushiswap,2021-07-01T00:00:00+00:00,3272030637.301840156303746077003175
Futureswap,2021-02-01T00:00:00+00:00,
DODO,2021-06-01T00:00:00+00:00,3183074843.76861492809747260822
Loopring,2021-01-01T00:00:00+00:00,120459533.465247308885
Uniswap,2021-04-01T00:00:00+00:00,39899316821.445417038584712287261638
dYdX,2021-07-01T00:00:00+00:00,184444785.38859458562326
Mooniswap,2021-04-01T00:00:00+00:00,18102400.60401149882006
DODO,2020-10-01T00:00:00+00:00,264562823.37692404686439
Mooniswap,2021-07-01T00:00:00+00:00,1722171.793166936337642
Mooniswap,2020-12-01T00:00:00+00:00,52991246.49793632477464808026
Gnosis Protocol,2020-12-01T00:00:00+00:00,12501357.2078769552676219643
Oasis,2020-09-01T00:00:00+00:00,14138824.72231796228522103140
Curve,2021-05-01T00:00:00+00:00,9737493762.562135874352795843
0x Native,2021-05-01T00:00:00+00:00,10874513121.671732386795768867296917
Gnosis Protocol,2021-03-01T00:00:00+00:00,400496.8807524883165
Loopring,2020-09-01T00:00:00+00:00,20130339.94062359251113
DODO,2020-12-01T00:00:00+00:00,119363862.1699598044346216
DDEX,2021-05-01T00:00:00+00:00,364796.2274370372
DODO,2021-05-01T00:00:00+00:00,2484025042.56313575145975334262
dYdX,2020-10-01T00:00:00+00:00,122107988.560777655364381632621382
1inch LP,2021-02-01T00:00:00+00:00,429004345.9998136823
Kyber,2021-04-01T00:00:00+00:00,258201496.613496390917959781426489849
Loopring,2020-10-01T00:00:00+00:00,11389782.75961793461793
Bancor Network,2020-10-01T00:00:00+00:00,39652045.333081901843694031618
airswap,2020-09-01T00:00:00+00:00,2301741.79041551556185588
Uniswap,2020-10-01T00:00:00+00:00,11216374091.208310131758242581042863
Curve,2021-04-01T00:00:00+00:00,6931727078.235164278477608
Uniswap,2020-09-01T00:00:00+00:00,15371839775.669735673282426000375157
LINKSWAP,2021-01-01T00:00:00+00:00,106740696.98249011991762099433
DODO,2020-11-01T00:00:00+00:00,261336615.10933895660474
Curve,2020-09-01T00:00:00+00:00,5709514597.1811457153592197886
Oasis,2021-02-01T00:00:00+00:00,468.051058999999998
Synthetix,2020-10-01T00:00:00+00:00,49493603.125898132434148776987207983525230100
Gnosis Protocol,2021-02-01T00:00:00+00:00,5625146.04457150501923014838
Synthetix,2021-05-01T00:00:00+00:00,1235932880.702865717562082922025000
Balancer,2020-11-01T00:00:00+00:00,503138733.84900324255033779721
Sushiswap,2021-02-01T00:00:00+00:00,14289788795.462985973014455132258663
Curve,2021-06-01T00:00:00+00:00,4370733013.191446470997724261000914
