day,project,locked_usd_value
2021-02-21T00:00:00+00:00,Aave,5548850574.756422
2021-05-12T00:00:00+00:00,MakerDAO,13746704877.78527
2021-02-27T00:00:00+00:00,Aave,4407387606.351371
2021-03-24T00:00:00+00:00,Aave,5381635272.840707
2021-05-03T00:00:00+00:00,MakerDAO,10484567353.404993
2021-05-24T00:00:00+00:00,Compound,10706935726.792479
2021-05-20T00:00:00+00:00,Compound,12364088618.435385
2021-07-06T00:00:00+00:00,Compound,10128309798.623611
2021-07-16T00:00:00+00:00,MakerDAO,4836691094.559221
2021-03-06T00:00:00+00:00,Compound,9533450255.860065
2021-03-20T00:00:00+00:00,Compound,11611754961.329523
2021-05-04T00:00:00+00:00,Compound,15331026895.80216
2021-05-13T00:00:00+00:00,MakerDAO,12019467233.006178
2021-07-03T00:00:00+00:00,Compound,8945592491.013126
2021-03-29T00:00:00+00:00,Compound,10930141006.753698
2021-06-04T00:00:00+00:00,Aave,13296765419.632877
2021-08-01T00:00:00+00:00,Compound,14794120355.369013
2021-04-23T00:00:00+00:00,Aave,5833247173.575542
2021-05-30T00:00:00+00:00,Aave,12425190912.082813
2021-07-07T00:00:00+00:00,MakerDAO,5950442539.826027
2021-08-09T00:00:00+00:00,Compound,15579459816.950598
2021-04-22T00:00:00+00:00,Compound,14017555694.708057
2021-08-08T00:00:00+00:00,Aave,18257959595.051712
2021-02-22T00:00:00+00:00,Aave,5271650237.216321
2021-03-17T00:00:00+00:00,MakerDAO,6830645260.338709
2021-06-05T00:00:00+00:00,Compound,11410398321.211926
2021-05-01T00:00:00+00:00,MakerDAO,9614086822.90984
2021-08-15T00:00:00+00:00,Aave,19073317274.310738
2021-05-05T00:00:00+00:00,Compound,15371006038.597843
2021-05-23T00:00:00+00:00,MakerDAO,6416573920.437673
2021-05-07T00:00:00+00:00,MakerDAO,11731636833.063324
2021-04-13T00:00:00+00:00,MakerDAO,7789510320.907051
2021-06-20T00:00:00+00:00,MakerDAO,5720704214.310824
2021-04-01T00:00:00+00:00,Aave,6302817792.213294
2021-06-16T00:00:00+00:00,Aave,13188510928.912483
2021-04-19T00:00:00+00:00,Compound,12723898110.46613
2021-08-08T00:00:00+00:00,Compound,15598403839.157787
2021-07-03T00:00:00+00:00,Aave,12523740932.540817
2021-05-30T00:00:00+00:00,Compound,10710906956.880081
2021-02-21T00:00:00+00:00,MakerDAO,7065756366.761416
2021-05-07T00:00:00+00:00,Compound,16338885552.970728
2021-07-27T00:00:00+00:00,Compound,13834963338.22239
2021-05-04T00:00:00+00:00,MakerDAO,10984092432.281755
